match_id,competition,season,period,minute,is_shootout,shootout_kick_order,team,kicker,kicker_id,body_part,outcome,end_y,direction
3922356,African Cup of Nations,2023,2,64,False,,Congo DR,Yoane Wissa,7294.0,Right Foot,Goal,36.9,R
3922243,African Cup of Nations,2023,2,84,False,,Morocco,Achraf Hakimi Mouh,5245.0,Right Foot,Post,38.2,R
3922241,African Cup of Nations,2023,2,87,False,,Cape Verde Islands,Ryan Isaac Mendes da Graça,40485.0,Right Foot,Goal,40.3,C
3920385,African Cup of Nations,2023,2,96,False,,Egypt,Mohamed Salah,3531.0,Left Foot,Goal,35.9,R
3920398,African Cup of Nations,2023,2,54,False,,Nigeria,William Troost-Ekong,5455.0,Right Foot,Goal,40.1,C
3920392,African Cup of Nations,2023,2,95,False,,Burkina Faso,Bertrand Isidore Traoré,2956.0,Left Foot,Goal,36.6,R
3920391,African Cup of Nations,2023,1,18,False,,South Africa,Percy Tau,29367.0,Left Foot,Off T,36.8,R
3920390,African Cup of Nations,2023,2,67,False,,Angola,Cristóvão Paciência Mabululo,128881.0,Right Foot,Goal,38.2,R
3888754,Copa del Rey,1977/1978,1,8,False,,Barcelona,Carles Rexach i Cerdà,397775.0,Right Foot,Goal,43.2,L
70282,La Liga,2012/2013,1,38,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,36.7,R
266724,La Liga,2012/2013,2,57,False,,Mallorca,Víctor Casadesús Castaño,23791.0,Right Foot,Goal,40.2,C
70304,La Liga,2012/2013,1,25,False,,RC Deportivo La Coruña,Luís Miguel Afonso Fernandes,10325.0,Right Foot,Goal,42.5,L
70280,La Liga,2012/2013,2,86,False,,Levante UD,José Javier Barkero Saludes,26226.0,Left Foot,Saved,37.7,R
266433,La Liga,2012/2013,1,28,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,37.5,R
70260,La Liga,2012/2013,1,27,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,36.6,R
70292,La Liga,2012/2013,2,73,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,42.4,L
9880,La Liga,2017/2018,2,86,False,,Valencia,Daniel Parejo Muñoz,6595.0,Right Foot,Goal,43.1,L
9827,La Liga,2017/2018,2,47,False,,Las Palmas,Jonathan Calleri,6930.0,Right Foot,Goal,43.5,L
9609,La Liga,2017/2018,1,20,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,36.9,R
9736,La Liga,2017/2018,2,63,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,41.8,L
9581,La Liga,2017/2018,1,38,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Saved,36.9,R
9726,La Liga,2017/2018,2,69,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Saved,42.8,L
